state3,steps,sum_pnl,mean_pnl,mean_option_pnl,mean_hedge_pnl,mean_agent_minus_bs,mean_delta_gap,year,portfolio,share_negative_steps,share_negative_loss
spot_up/option_up/iv_down,1108,-80.58357024217425,-0.07272885400918254,0.27355520994448107,-0.3462840633430206,0.01670768956228173,-0.023791527509271868,2018,agent,0.3007600434310532,0.3365607905890118
spot_up/option_up/iv_flat,133,-8.545736562481004,-0.06425365836451882,0.2799824089252447,-0.3442360675802694,-0.003572446395813352,0.0046319220619440915,2018,agent,0.03610206297502715,0.035691640926189226
spot_up/option_up/iv_up,348,-8.496958613069603,-0.024416547738705757,0.3738106508688728,-0.39822719916778343,-0.014862688157671564,0.016115488387232167,2018,agent,0.09446254071661238,0.03548791769615765
spot_down/option_down/iv_down,762,-59.005520320434016,-0.07743506603731498,-0.2746236486515775,0.19718858226107253,-0.013787239420819707,-0.030107806866553143,2019,agent,0.20287539936102236,0.2557090412024356
spot_down/option_down/iv_flat,61,-4.2817088907718945,-0.07019194902904745,-0.2311217332418316,0.16092978483056625,-0.05241499653738335,-0.06541626502693922,2019,agent,0.016240681576144837,0.01855541090429235
spot_down/option_down/iv_up,645,-21.24231126501144,-0.03293381591474642,-0.2294760842316492,0.19654226819475798,-0.03362568525919074,-0.049619747621660486,2019,agent,0.17172523961661343,0.09205665871602671
spot_up/option_down/iv_down,384,-35.56473418764455,-0.09261649528032434,-0.05754612559922893,-0.03507036967111329,0.008531064672003248,-0.04434902153081228,2019,agent,0.10223642172523961,0.15412497051725307
spot_up/option_down/iv_flat,25,-1.7170080263486747,-0.06868032105394699,-0.03876794760715922,-0.02991237347987817,0.01662571126749701,-0.03679599234093131,2019,agent,0.006656017039403621,0.007440905084307143
spot_up/option_down/iv_up,25,-1.7546304324515059,-0.07018521729806024,-0.03013931181952444,-0.040045905298966095,0.009075379634399763,-0.045304720164391236,2019,agent,0.006656017039403621,0.007603947276631511
spot_up/option_flat/iv_down,2,-0.16202956318479,-0.081014781592395,0.0,-0.08101478134610929,0.008453191460634994,-0.005096864376734012,2019,agent,0.0005324813631522897,0.0007021787796028261
spot_up/option_flat/iv_up,1,-0.0509148099812,-0.0509148099812,0.0,-0.05091481044765668,0.004078729613829997,-0.03966428138172179,2019,agent,0.00026624068157614486,0.0002206467661431358
spot_up/option_up/iv_down,1312,-86.95237253603284,-0.06627467418904942,0.31807098625527025,-0.38434566061013636,0.01453703543402514,-0.01964812960517631,2019,agent,0.34930777422790205,0.3768208074552982
spot_up/option_up/iv_flat,105,-6.586102729814913,-0.06272478790299917,0.2804119553327895,-0.34313674354634716,0.005627314651297622,0.001623178831395921,2019,agent,0.027955271565495207,0.028541838206932832
